;gender;ethnicity;score;fcollege;mcollege;home;urban;unemp;wage;distance;tuition;education;income;region
1;male;other;391.500.015.258.789;yes;no;yes;yes;619.999.980.926.514;809.000.015.258.789;0.200000002980232;0.889150023460388;12;high;other
2;female;other;488.699.989.318.848;no;no;yes;yes;619.999.980.926.514;809.000.015.258.789;0.200000002980232;0.889150023460388;12;low;other
3;male;other;487.400.016.784.668;no;no;yes;yes;619.999.980.926.514;809.000.015.258.789;0.200000002980232;0.889150023460388;12;low;other
4;male;afam;404.000.015.258.789;no;no;yes;yes;619.999.980.926.514;809.000.015.258.789;0.200000002980232;0.889150023460388;12;low;other
5;female;other;404.799.995.422.363;no;no;no;yes;559.999.990.463.257;809.000.015.258.789;0.400000005960464;0.889150023460388;13;low;other
6;male;other;547.099.990.844.727;no;no;yes;yes;559.999.990.463.257;809.000.015.258.789;0.400000005960464;0.889150023460388;12;low;other
7;female;other;560.699.996.948.242;no;no;yes;no;719.999.980.926.514;885.000.038.146.973;0.400000005960464;0.84987998008728;13;low;other
8;female;other;548.499.984.741.211;no;no;yes;no;719.999.980.926.514;885.000.038.146.973;0.400000005960464;0.84987998008728;15;low;other
9;male;other;647.399.978.637.695;yes;no;yes;yes;590.000.009.536.743;809.000.015.258.789;3;0.889150023460388;13;low;other
10;female;other;56.060.001.373.291;no;no;yes;yes;590.000.009.536.743;809.000.015.258.789;3;0.889150023460388;15;low;other
11;female;other;422.200.012.207.031;no;no;yes;yes;590.000.009.536.743;809.000.015.258.789;3;0.889150023460388;12;high;other
12;female;afam;611.800.003.051.758;no;yes;yes;yes;590.000.009.536.743;809.000.015.258.789;3;0.889150023460388;14;high;other
13;male;other;598.499.984.741.211;no;no;yes;no;719.999.980.926.514;885.000.038.146.973;0.100000001490116;0.84987998008728;15;low;other
14;female;other;587.700.004.577.637;yes;no;yes;no;719.999.980.926.514;885.000.038.146.973;0.100000001490116;0.84987998008728;17;high;other
15;female;afam;537.200.012.207.031;yes;yes;yes;no;719.999.980.926.514;885.000.038.146.973;0.100000001490116;0.84987998008728;14;low;other
16;male;other;615.200.004.577.637;no;no;yes;no;719.999.980.926.514;885.000.038.146.973;0.100000001490116;0.84987998008728;15;low;other
17;female;other;525.299.987.792.969;no;no;yes;no;719.999.980.926.514;885.000.038.146.973;0.100000001490116;0.84987998008728;12;high;other
18;female;other;450.099.983.215.332;no;no;yes;no;719.999.980.926.514;885.000.038.146.973;0.100000001490116;0.84987998008728;12;low;other
19;female;other;577.099.990.844.727;no;no;yes;no;719.999.980.926.514;885.000.038.146.973;0.100000001490116;0.84987998008728;16;low;other
20;female;other;593.600.006.103.516;yes;yes;yes;no;719.999.980.926.514;885.000.038.146.973;0.100000001490116;0.84987998008728;16;high;other
21;female;other;509.300.003.051.758;no;no;yes;no;769.999.980.926.514;703.999.996.185.303;0.5;0.902999997138977;13;low;other
22;male;other;59.560.001.373.291;yes;no;yes;no;769.999.980.926.514;703.999.996.185.303;0.5;0.902999997138977;14;high;other
23;male;other;584.599.990.844.727;yes;yes;yes;no;769.999.980.926.514;703.999.996.185.303;0.5;0.902999997138977;13;low;other
24;female;other;557.000.007.629.395;no;no;no;no;769.999.980.926.514;703.999.996.185.303;0.5;0.902999997138977;16;low;other
25;male;other;60.810.001.373.291;no;no;yes;no;769.999.980.926.514;703.999.996.185.303;0.5;0.902999997138977;15;low;other
26;female;afam;405.999.984.741.211;no;no;yes;no;540.000.009.536.743;885.000.038.146.973;0.899999976158142;0.84987998008728;12;low;other
27;female;other;499.900.016.784.668;no;no;yes;no;540.000.009.536.743;885.000.038.146.973;0.899999976158142;0.84987998008728;12;low;other
28;male;other;59.689.998.626.709;no;no;yes;yes;509.999.990.463.257;885.000.038.146.973;0.5;0.84987998008728;15;low;other
29;male;other;603.300.018.310.547;no;no;yes;yes;509.999.990.463.257;885.000.038.146.973;0.5;0.84987998008728;16;low;other
30;female;other;601.399.993.896.484;yes;no;yes;yes;509.999.990.463.257;885.000.038.146.973;0.5;0.84987998008728;12;high;other
31;female;other;685.800.018.310.547;yes;yes;yes;yes;509.999.990.463.257;885.000.038.146.973;0.5;0.84987998008728;16;high;other
32;female;other;426.100.006.103.516;no;no;yes;yes;509.999.990.463.257;885.000.038.146.973;0.5;0.84987998008728;12;low;other
33;male;other;586.599.998.474.121;yes;no;yes;yes;509.999.990.463.257;885.000.038.146.973;0.5;0.84987998008728;16;high;other
34;male;other;581.399.993.896.484;no;no;yes;yes;509.999.990.463.257;885.000.038.146.973;0.5;0.84987998008728;14;low;other
35;female;other;589.500.007.629.395;no;no;yes;yes;509.999.990.463.257;885.000.038.146.973;0.5;0.84987998008728;16;low;other
36;male;other;493.699.989.318.848;no;no;yes;yes;540.000.009.536.743;885.000.038.146.973;0.200000002980232;0.84987998008728;17;low;other
37;female;other;47.25;no;yes;no;yes;540.000.009.536.743;885.000.038.146.973;0.200000002980232;0.84987998008728;16;low;other
38;male;other;610.299.987.792.969;yes;no;no;no;619.999.980.926.514;809.000.015.258.789;0.600000023841858;0.889150023460388;14;high;other
39;male;other;543.499.984.741.211;no;no;no;no;619.999.980.926.514;809.000.015.258.789;0.600000023841858;0.889150023460388;15;high;other
40;female;other;68.120.002.746.582;yes;yes;yes;no;619.999.980.926.514;809.000.015.258.789;0.600000023841858;0.889150023460388;15;high;other
41;male;other;700.999.984.741.211;yes;no;yes;no;619.999.980.926.514;809.000.015.258.789;0.600000023841858;0.889150023460388;17;high;other
42;female;other;586.100.006.103.516;no;no;no;no;619.999.980.926.514;809.000.015.258.789;0.600000023841858;0.889150023460388;15;low;other
43;female;other;485.699.996.948.242;no;no;yes;no;619.999.980.926.514;809.000.015.258.789;0.600000023841858;0.889150023460388;12;low;other
44;female;other;511.100.006.103.516;no;no;yes;no;619.999.980.926.514;809.000.015.258.789;0.600000023841858;0.889150023460388;12;low;other
45;female;other;394.099.998.474.121;no;no;yes;no;619.999.980.926.514;809.000.015.258.789;0.600000023841858;0.889150023460388;15;low;other
46;female;other;549.799.995.422.363;yes;no;yes;no;719.999.980.926.514;703.999.996.185.303;0.100000001490116;0.902999997138977;16;high;other
47;female;afam;415.900.001.525.879;yes;yes;no;no;719.999.980.926.514;703.999.996.185.303;0.100000001490116;0.902999997138977;12;low;other
48;female;other;553.199.996.948.242;no;no;yes;no;719.999.980.926.514;703.999.996.185.303;0.100000001490116;0.902999997138977;13;low;other
49;male;hispanic;422.299.995.422.363;no;no;yes;no;719.999.980.926.514;703.999.996.185.303;0.100000001490116;0.902999997138977;12;low;other
50;female;other;62;no;no;yes;no;719.999.980.926.514;703.999.996.185.303;0.100000001490116;0.902999997138977;16;low;other
51;male;hispanic;496.500.015.258.789;no;no;no;no;719.999.980.926.514;703.999.996.185.303;0.100000001490116;0.902999997138977;15;low;other
