date,NO2
2023-10-01,2.6866112e-05
2023-10-02,2.389557e-05
2023-10-03,2.4158424e-05
2023-10-04,2.1061425e-05
2023-10-05,2.1368363e-05
2023-10-06,2.3423148e-05
2023-10-07,2.1221918e-05
2023-10-08,2.1034166e-05
2023-10-09,2.1739015e-05
2023-10-10,2.7133916e-05
2023-10-11,2.528813e-05
2023-10-12,2.2189084e-05
2023-10-13,1.9600611e-05
2023-10-14,1.6752185e-05
2023-10-15,1.7261533e-05
2023-10-16,2.273415e-05
2023-10-17,3.0020656e-05
2023-10-18,2.3432549e-05
2023-10-19,2.4654366e-05
2023-10-20,2.4796465e-05
2023-10-21,2.7052472e-05
2023-10-22,2.6562768e-05
2023-10-23,2.6906813e-05
2023-10-24,2.7669781e-05
2023-10-25,2.8285136e-05
2023-10-26,3.988552e-05
2023-10-27,3.458641e-05
2023-10-28,3.2540785e-05
2023-10-29,2.958407e-05
2023-10-30,2.85378e-05
2023-10-31,2.7107533e-05
2023-11-01,2.7499824e-05
2023-11-02,2.7780858e-05
2023-11-03,2.6118274e-05
2023-11-04,2.445569e-05
2023-11-05,2.2793109e-05
2023-11-06,3.022577e-05
2023-11-07,3.9857903e-05
2023-11-08,4.1555337e-05
2023-11-09,4.311569e-05
2023-11-10,3.6610632e-05
2023-11-11,3.5497347e-05
2023-11-12,3.4384062e-05
2023-11-13,3.405143e-05
2023-11-14,4.0145733e-05
2023-11-15,5.1269104e-05
2023-11-16,4.3762204e-05
2023-11-17,3.758696e-05
2023-11-18,5.0605337e-05
2023-11-19,2.6100406e-05
2023-11-20,2.5070602e-05
2023-11-21,2.0052577e-05
2023-11-22,2.1550873e-05
2023-11-23,2.3006145e-05
2023-11-24,2.5069156e-05
2023-11-25,2.713217e-05
2023-11-26,2.919518e-05
2023-11-27,2.9123543e-05
2023-11-28,2.8047894e-05
2023-11-29,2.697225e-05
2023-11-30,2.6880089e-05
2023-12-01,2.657576e-05
2023-12-02,2.6258918e-05
2023-12-03,2.6425638e-05
2023-12-04,2.6819125e-05
2023-12-05,2.4649735e-05
2023-12-06,3.5208683e-05
2023-12-07,4.7319187e-05
2023-12-08,4.528386e-05
2023-12-09,4.1409065e-05
2023-12-10,3.7129277e-05
2023-12-11,3.2849486e-05
2023-12-12,3.7589038e-05
2023-12-13,4.167193e-05
2023-12-14,5.4009834e-05
2023-12-15,4.7783305e-05
2023-12-16,4.155677e-05
2023-12-17,4.423118e-05
2023-12-18,6.9249276e-05
2023-12-19,5.3126663e-05
2023-12-20,5.6000084e-05
2023-12-21,3.450694e-05
2023-12-22,3.3650515e-05
2023-12-23,3.090631e-05
2023-12-24,2.8857008e-05
2023-12-25,2.9959574e-05
2023-12-26,3.1898966e-05
2023-12-27,3.339183e-05
2023-12-28,3.1385563e-05
2023-12-29,2.9379302e-05
2023-12-30,2.6653131e-05
2023-12-31,2.4284514e-05
2024-01-01,2.61560235e-05
2024-01-02,2.8027533e-05
2024-01-03,2.7808965e-05
2024-01-04,2.7590399e-05
2024-01-05,3.1490952e-05
2024-01-06,3.2126918e-05
2024-01-07,3.276289e-05
2024-01-08,3.3398857e-05
2024-01-09,3.4571698e-05
2024-01-10,3.002683e-05
2024-01-11,3.1034615e-05
2024-01-12,3.974627e-05
2024-01-13,3.1002324e-05
2024-01-14,3.58003e-05
2024-01-15,3.5569472e-05
2024-01-16,3.5338646e-05
2024-01-17,3.3362045e-05
2024-01-18,3.1385443e-05
2024-01-19,2.9362149e-05
2024-01-20,2.733885e-05
2024-01-21,2.5315556e-05
2024-01-22,2.8092563e-05
2024-01-23,2.9014154e-05
2024-01-24,2.9685138e-05
2024-01-25,3.0356117e-05
2024-01-26,2.7587615e-05
2024-01-27,2.9664532e-05
2024-01-28,3.0437084e-05
2024-01-29,3.0428184e-05
2024-01-30,3.0419285e-05
2024-01-31,2.9328308e-05
2024-02-01,3.0172136e-05
2024-02-02,3.2070686e-05
2024-02-03,3.3969234e-05
2024-02-04,3.539194e-05
2024-02-05,3.6029778e-05
2024-02-06,3.607836e-05
2024-02-07,3.4163375e-05
2024-02-08,3.2248397e-05
2024-02-09,2.9127654e-05
2024-02-10,2.8892708e-05
2024-02-11,2.8657765e-05
2024-02-12,2.842282e-05
2024-02-13,3.4800367e-05
2024-02-14,3.057076e-05
2024-02-15,2.6341157e-05
2024-02-16,3.0323172e-05
2024-02-17,3.0132622e-05
2024-02-18,2.6466623e-05
2024-02-19,2.2086719e-05
2024-02-20,2.3301449e-05
2024-02-21,4.3930297e-05
2024-02-22,3.0573356e-05
2024-02-23,3.2419157e-05
2024-02-24,3.4264966e-05
2024-02-25,3.6110767e-05
2024-02-26,3.823242e-05
2024-02-27,3.394407e-05
2024-02-28,2.8523862e-05
2024-02-29,2.7783137e-05
2024-03-01,2.704941e-05
2024-03-02,2.8081697e-05
2024-03-03,2.5687572e-05
2024-03-04,2.4619776e-05
2024-03-05,2.355198e-05
2024-03-06,2.2484186e-05
2024-03-07,2.3005714e-05
2024-03-08,2.3527242e-05
2024-03-09,2.3672343e-05
2024-03-10,2.3817443e-05
2024-03-11,2.3962544e-05
2024-03-12,2.4107643e-05
2024-03-13,2.4252742e-05
2024-03-14,2.4397843e-05
2024-03-15,2.4542944e-05
2024-03-16,2.4411987e-05
2024-03-17,2.4920973e-05
2024-03-18,2.542996e-05
2024-03-19,2.417274e-05
2024-03-20,2.743369e-05
2024-03-21,2.2309625e-05
2024-03-22,3.066879e-05
2024-03-23,2.921824e-05
2024-03-24,2.776769e-05
2024-03-25,2.6433154e-05
2024-03-26,2.5098616e-05
2024-03-27,2.9513114e-05
2024-03-28,2.539391e-05
2024-03-29,2.2022687e-05
2024-03-30,1.8120554e-05
2024-03-31,1.9237417e-05
2024-04-01,2.0467769e-05
2024-04-02,2.169812e-05
2024-04-03,2.0664877e-05
2024-04-04,3.3864737e-05
2024-04-05,3.234131e-05
2024-04-06,3.0817886e-05
2024-04-07,2.929446e-05
2024-04-08,2.7703043e-05
2024-04-09,2.5847503e-05
2024-04-10,2.340772e-05
2024-04-11,2.0967937e-05
2024-04-12,1.8528155e-05
2024-04-13,1.691185e-05
2024-04-14,1.6155049e-05
2024-04-15,1.5324275e-05
2024-04-16,1.697035e-05
2024-04-17,1.8127785e-05
2024-04-18,1.928522e-05
2024-04-19,1.730369e-05
2024-04-20,1.7485623e-05
2024-04-21,1.7371935e-05
2024-04-22,1.7258244e-05
2024-04-23,1.7044156e-05
2024-04-24,1.6830068e-05
2024-04-25,1.661598e-05
2024-04-26,1.6401893e-05
2024-04-27,1.8491468e-05
2024-04-28,1.8425528e-05
2024-04-29,2.0324444e-05
2024-04-30,1.9875119e-05
2024-05-01,2.1217176e-05
2024-05-02,2.840488e-05
2024-05-03,3.1035408e-05
2024-05-04,2.8801856e-05
2024-05-05,2.3762113e-05
2024-05-06,1.849044e-05
2024-05-07,1.8701594e-05
2024-05-08,1.8266317e-05
2024-05-09,1.8825102e-05
2024-05-10,1.5775235e-05
2024-05-11,1.759468e-05
2024-05-12,1.4504222e-05
2024-05-13,1.5780666e-05
2024-05-14,1.622882e-05
2024-05-15,1.598399e-05
